name,brand,price,processor,Ram,Ram_type,ROM,ROM_type,GPU,OS,display_size,resolution_width,resolution_height,warranty,image_url,buy_url,source
"ASUS Vivobook 16, Intel Core Ultra 5 Series 2, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Silver, 1.88kg, X1607CA-MB142WS, Intel iGPU, M365 Basic (1Year)* Laptop",ASUS,66990.0,Intel Core Ultra 5,16.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/714zVJcMt5L._SL500_.jpg,,amazon
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",Lenovo,41999.0,Amd Athlon Silver,8.0,LPDDR5,512.0,SSD,Amd Radeon 610M,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/51EuJs4AGpL._SL500_.jpg,,amazon
"acer Nitro V 15, Intel core i7-13th Gen 13620H,NVIDIA GeForce RTX - 5050 8GB, 16 GB,512 GB,Full HD IPS,15.6""/39.62 cm,165 Hz, Win 11 Home, Obsidian Black, 2.113 kg, ANV15-52, Amber KB,Gaming Laptop",Acer,93990.0,Intel Core I7-13Th,8.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/51WgXPBL4nL._SL500_.jpg,,amazon
"HP 14 AI PC Intel Core Ultra 7 - (24 GB/1 TB SSD/Windows 11 Home) 14-ep1181TU Thin and Light Laptop (14 Inch, Natural Silver, 1.4 kg, with MS Office)",HP,87999.0,Intel Core Ultra 7,8.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71+5idlIHgL._SL500_.jpg,,amazon
"Dell Inspiron 3530, Intel Core i7 13th Gen -1355U, 16GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, Silver, 1.62kg, Backlit KB, M365, 15 Month McAfee Laptop",Dell,82490.0,Intel Core I7 13Th,16.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,2560,1600,1,https://m.media-amazon.com/images/I/615Lg0FU5bL._SL500_.jpg,,amazon
"HP Victus, Intel Core 7 240H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, FHD, 144Hz, 300 nits, IPS, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2409TX, RGB Backlit, Gaming Laptop",HP,113949.0,Intel Core i5,24.0,DDR5,512.0,SSD,Rtx 5050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71cW4VF6BkL._SL500_.jpg,,amazon
"HP 15 Laptop, AMD Ryzen 5 7520U (16GB DDR5,512GB SSD) Win11,M365 Basic(1yr)*Office Home24, Anti-Glare,15.6''/39.6cm,FHD,Backlit KB,FHD Camera w/Privacy Shutter,Radeon Graphics, Silver,1.59kg FC0690AU",HP,53990.0,Amd Ryzen 5 7520U,16.0,DDR5,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71-8y5gh4bL._SL500_.jpg,,amazon
𝗟𝗲𝗻𝗼𝘃𝗼Model L14 Laptop| Core i5 10th Gen Processor | 8GB RAM/256GB SSD | 14″ HD Display | A+ Condition (Pre-Owned & Tested),𝗟𝗲𝗻𝗼𝘃𝗼model,23995.0,Intel Core i5,8.0,DDR4,256.0,SSD,Intel Iris Xe,Windows 11,15.6,1366,768,1,https://m.media-amazon.com/images/I/51G8BlhaMAL._SL500_.jpg,,amazon
"ASUS Gaming V16, Intel Core 7 240H Gaming Laptop(RTX 5060-8GB/16GB RAM/512GB SSD/FHD+/16""/144Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Matte Black/1.95 Kg) V3607VM-RP057WS",ASUS,109990.0,Intel Core i5,16.0,DDR4,512.0,SSD,Rtx 5060,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71Du1Y52b9L._SL500_.jpg,,amazon
"ASUS ROG Strix G16,Intel Core Ultra 9 275HX Gaming Laptop(RTX 5070 Ti -12GB/140W TGP/32GB/1TB/2.5K QHD+/16""/240Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.65 Kg) G615LR-S5190WS",ASUS,269990.0,Intel Core Ultra 9,8.0,DDR4,512.0,SSD,Rtx 5070,Windows 11,15.6,1366,768,1,https://m.media-amazon.com/images/I/81yUKF8dkiL._SL500_.jpg,,amazon
"HP 15, Intel Core 5-120U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, fd0651TU, FHD Camera w/Privacy Shutter, Backlit Laptop",HP,56824.0,Intel Core i5,8.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71Pvu4wjdtL._SL500_.jpg,,amazon
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",HP,45720.0,Amd Ryzen 3 7320U,8.0,LPDDR5,512.0,SSD,Amd Radeon Graphics,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/61SHFVKs+AL._SL500_.jpg,,amazon
"Lenovo Yoga AMD Pro 7 Ryzen AI 9 365 (32GB RAM/1TB SSD/Copilot+PC/14.5""(36.8cm)/2.8K WQXGA+OLED/120Hz/Windows11/Office Home 2024/Grey/1.54Kg), 83HN0027IN AI Laptop",Lenovo,112990.0,Intel Core i5,32.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,14.5,3840,2160,1,https://m.media-amazon.com/images/I/71gcREwFhxL._SL500_.jpg,,amazon
"Dell 15 AI Powered Laptop, Intel Core Ultra 5 225H, 16GB DDR5 RAM, 512GB SSD, 15.6"" FHD Anti-Glare Display, Intel Arc Graphics, Dedicated Copilot Key, Backlit Keyboard, Silver, Win11 Home + MSO H&S'24",Dell,79990.0,Intel Core Ultra 5,16.0,DDR5,512.0,SSD,Intel Arc Graphics,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/61Hnx-dNRjL._SL500_.jpg,,amazon
"ASUS TUF A16 (2026), AMD Ryzen 7 170 Processor,RTX 4050-6GB, 16GB RAM, 512GB SSD, FHD+, 16""(40 cm), Windows 11 Home, M365 Basic(1 Year)* Office 2024, Mecha Gray, 2.2 Kg, FA607NUQ-RL047WS,Gaming Laptop",ASUS,99990.0,Amd Ryzen 7 170,16.0,DDR4,512.0,SSD,Rtx 4050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/81zFXp24a7L._SL500_.jpg,,amazon
ALKETRON - 15.6 Inch Professional Laptop - 256GB SSD + 12GB RAM with Windows 11 & MS Office - 1Yr Warranty + 3 Yr Extended Warranty(Standard Edition),Alketron,28745.0,Intel Core i5,12.0,DDR4,256.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/61VPPYUhoIL._SL500_.jpg,,amazon
"acer Aspire 3 Intel Core i5-1334U Processor Laptop with 35.56 cm (14"") FHD LED-Backlit IPS Display (16GB RAM/512GB SSD/WiFi 6/Intel Graphics/Win11Home) A324-51, Backlit Keyboard, Steel Gray, 1.45KG",Acer,57990.0,Intel Core I5-1334U,16.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71sZZwsXCmL._SL500_.jpg,,amazon
"Dell G15, 13th Gen Intel Core i5-13450HX Processor, NVIDIA RTX 3050-6GB, (16GB RAM 1TB SSD) FHD 15.6""/39.62 cm, Orange Backlit Keyboard, Win 11, MS Office'24, Dark Shadow Grey, 2.65Kg Gaming Laptop",Dell,80990.0,Intel Core I5-13450Hx,16.0,DDR4,512.0,SSD,Nvidia Rtx 3050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/61ko2a0owDL._SL500_.jpg,,amazon
"HP Victus, Intel Core i5-14450HX 14th Gen, 6GB RTX 4050, 24GB DDR5(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2382tx, RGB Gaming Laptop",HP,102990.0,Intel Core I5-14450Hx,24.0,DDR5,512.0,SSD,Rtx 4050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71ISEW+yZeL._SL500_.jpg,,amazon
"acer Professional 14, AMD Ryzen 3-7330U, 8 GB RAM, 512 GB SSD, Full HD 14"", Windows 11 Pro, MSO21, Pro Silver, 1.39 KG, Professional Premium Laptop, Travel Lite",Acer,42990.0,Intel Core i5,8.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/51xKQHXurwL._SL500_.jpg,,amazon
"ASUS Vivobook 15 (2025), 13th Gen,Intel Core i3-1315U, 8GB RAM, 512GB SSD, FHD, 15.6"", 39.6 cm, Windows 11 Home,M365 Basic(1 Year)* Office 2024,Cool Silver,1.7 Kg, X1504VA-D5321WS, Thin & Light Laptop",ASUS,45890.0,Intel Core I3-1315U,8.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71bIUPAleZL._SL500_.jpg,,amazon
"HP Omen, AMD Ryzen AI 7 350, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.44kg, ap0183AX, RGB, AI Gaming Laptop",HP,152990.0,Intel Core i5,24.0,DDR5,512.0,SSD,Rtx 5060,Windows 11,15.6,3840,2160,1,https://m.media-amazon.com/images/I/71L-15NzerL._SL500_.jpg,,amazon
"ASUS ROG Strix G16 (2025), AMD Ryzen 9 8940HX, RTX 5050-8GB, 16GB RAM, 1TB SSD, FHD+, 16"", 40 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Eclipse Gray, 2.5 Kg, G614PH-RV073WS, Gaming Laptop",ASUS,154990.0,Amd Ryzen 9 8940Hx,16.0,DDR4,512.0,SSD,Rtx 5050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71KmP-oCBBL._SL500_.jpg,,amazon
